"","District Number","District","School","Test-takers: 2012","Test-takers: 2013","Test-takers: Change%","Participation Rate (estimate): 2012","Participation Rate (estimate): 2013","Participation Rate (estimate): Change%","Percent Meeting Benchmark: 2012","Percent Meeting Benchmark: 2013","Percent Meeting Benchmark: Change%"
"1",26111,"Ansonia","Ansonia High School",118,104,-12,67,61,-6,18,18,0
"2",46111,"Avon","Avon High School",254,243,-4,90,89,-1,73,75,2
"3",76111,"Berlin","Berlin High School",216,220,2,81,82,1,42,49,7
"4",96111,"Bethel","Bethel High School",200,190,-5,86,82,-4,51,49,-2
"5",116111,"Bloomfield","Bloomfield High School",116,130,12,79,89,10,11,8,-3
"6",116211,"Bloomfield","Big Picture High School",14,30,114,100,100,0,7,7,0
"7",126111,"Bolton","Bolton High School",62,70,13,85,96,11,55,57,2
"8",146111,"Branford","Branford High School",196,213,9,77,84,7,47,44,-3
"9",156111,"Bridgeport","Bassick High School",105,122,16,52,60,8,3,5,2
"10",156211,"Bridgeport","Central Magnet High School",346,305,-12,78,69,-9,14,14,0
"11",156311,"Bridgeport","Warren Harding High School",155,113,-27,42,30,-12,5,3,-2
"12",176111,"Bristol","Bristol Center High School",210,200,-5,68,65,-3,47,41,-6
"13",176211,"Bristol","Bristol Eastern High School",212,190,-10,70,62,-8,42,35,-7
"14",186111,"Brookfield","Brookfield High School",227,219,-4,90,87,-3,57,59,2
"15",236111,"Canton","Canton High School",106,96,-9,89,81,-8,75,66,-9
"16",256111,"Cheshire","Cheshire High School",367,326,-11,91,80,-11,61,67,6
"17",276111,"Clinton","The Morgan School",86,104,21,69,83,14,49,45,-4
"18",286111,"Colchester","Bacon Academy",200,194,-3,77,75,-2,46,41,-5
"19",326111,"Coventry","Coventry High School",81,90,11,53,59,6,49,49,0
"20",336111,"Cromwell","Cromwell High School",106,105,-1,76,76,0,52,45,-7
"21",346111,"Danbury","Danbury High School",447,470,5,68,71,3,34,34,0
"22",346211,"Danbury","Alternative Center for Excellence",7,NA,NA,37,21,-16,14,25,11
"23",356111,"Darien","Darien High School",295,307,4,95,99,4,80,86,6
"24",376111,"Derby","Derby High School",59,46,-22,66,51,-15,27,15,-12
"25",406111,"East Granby","East Granby High School",45,51,13,73,82,9,67,57,-10
"26",416111,"East Haddam","Nathan Hale-Ray High School",78,72,-8,84,77,-7,44,54,10
"27",426111,"East Hampton","East Hampton High School",120,102,-15,77,65,-12,55,61,6
"28",436211,"East Hartford","East Hartford High School",262,256,-2,70,69,-1,17,15,-2
"29",436311,"East Hartford","Connecticut International Baccalaureate Academy",33,32,-3,92,89,-3,52,59,7
"30",446111,"East Haven","East Haven High School",134,145,8,71,77,6,25,20,-5
"31",456111,"East Lyme","East Lyme High School",210,238,13,70,79,9,59,67,8
"32",476111,"East Windsor","East Windsor High School",62,62,0,76,76,0,34,32,-2
"33",486111,"Ellington","Ellington High School",151,151,0,78,78,0,53,51,-2
"34",496111,"Enfield","Enfield High School",115,101,-12,64,56,-8,36,30,-6
"35",496211,"Enfield","Enrico Fermi High School",178,165,-7,64,60,-4,38,39,1
"36",516011,"Fairfield","Fairfield Ludlowe High School",317,323,2,89,91,2,62,66,4
"37",516211,"Fairfield","Fairfield Warde High School",275,255,-7,81,75,-6,61,60,-1
"38",526111,"Farmington","Farmington Senior High School",269,282,5,92,97,5,59,68,9
"39",546111,"Glastonbury","Glastonbury High School",459,508,11,90,100,10,74,73,-1
"40",566111,"Granby","Granby Memorial High School",173,181,5,92,96,4,66,65,-1
"41",576111,"Greenwich","Greenwich High School",559,604,8,87,94,7,69,69,0
